"month","layer","date","season"
2,1,2000-02-01,"winter"
3,2,2000-03-01,"spring"
4,3,2000-04-01,"spring"
5,4,2000-05-01,"spring"
6,5,2000-06-01,"summer"
7,6,2000-07-01,"summer"
8,7,2000-08-01,"summer"
9,8,2000-09-01,"fall"
10,9,2000-10-01,"fall"
11,10,2000-11-01,"fall"
12,11,2000-12-01,"winter"
1,12,2001-01-01,"winter"
2,13,2001-02-01,"winter"
3,14,2001-03-01,"spring"
4,15,2001-04-01,"spring"
5,16,2001-05-01,"spring"
6,17,2001-06-01,"summer"
7,18,2001-07-01,"summer"
8,19,2001-08-01,"summer"
9,20,2001-09-01,"fall"
10,21,2001-10-01,"fall"
11,22,2001-11-01,"fall"
12,23,2001-12-01,"winter"
1,24,2002-01-01,"winter"
2,25,2002-02-01,"winter"
3,26,2002-03-01,"spring"
4,27,2002-04-01,"spring"
5,28,2002-05-01,"spring"
6,29,2002-06-01,"summer"
7,30,2002-07-01,"summer"
8,31,2002-08-01,"summer"
9,32,2002-09-01,"fall"
10,33,2002-10-01,"fall"
11,34,2002-11-01,"fall"
12,35,2002-12-01,"winter"
1,36,2003-01-01,"winter"
2,37,2003-02-01,"winter"
3,38,2003-03-01,"spring"
4,39,2003-04-01,"spring"
5,40,2003-05-01,"spring"
6,41,2003-06-01,"summer"
7,42,2003-07-01,"summer"
8,43,2003-08-01,"summer"
9,44,2003-09-01,"fall"
10,45,2003-10-01,"fall"
11,46,2003-11-01,"fall"
12,47,2003-12-01,"winter"
1,48,2004-01-01,"winter"
2,49,2004-02-01,"winter"
3,50,2004-03-01,"spring"
4,51,2004-04-01,"spring"
5,52,2004-05-01,"spring"
6,53,2004-06-01,"summer"
7,54,2004-07-01,"summer"
8,55,2004-08-01,"summer"
9,56,2004-09-01,"fall"
10,57,2004-10-01,"fall"
11,58,2004-11-01,"fall"
12,59,2004-12-01,"winter"
1,60,2005-01-01,"winter"
2,61,2005-02-01,"winter"
3,62,2005-03-01,"spring"
4,63,2005-04-01,"spring"
5,64,2005-05-01,"spring"
6,65,2005-06-01,"summer"
7,66,2005-07-01,"summer"
8,67,2005-08-01,"summer"
9,68,2005-09-01,"fall"
10,69,2005-10-01,"fall"
11,70,2005-11-01,"fall"
12,71,2005-12-01,"winter"
1,72,2006-01-01,"winter"
2,73,2006-02-01,"winter"
3,74,2006-03-01,"spring"
4,75,2006-04-01,"spring"
5,76,2006-05-01,"spring"
6,77,2006-06-01,"summer"
7,78,2006-07-01,"summer"
8,79,2006-08-01,"summer"
9,80,2006-09-01,"fall"
10,81,2006-10-01,"fall"
11,82,2006-11-01,"fall"
12,83,2006-12-01,"winter"
1,84,2007-01-01,"winter"
2,85,2007-02-01,"winter"
3,86,2007-03-01,"spring"
4,87,2007-04-01,"spring"
5,88,2007-05-01,"spring"
6,89,2007-06-01,"summer"
7,90,2007-07-01,"summer"
8,91,2007-08-01,"summer"
9,92,2007-09-01,"fall"
10,93,2007-10-01,"fall"
11,94,2007-11-01,"fall"
12,95,2007-12-01,"winter"
1,96,2008-01-01,"winter"
2,97,2008-02-01,"winter"
3,98,2008-03-01,"spring"
4,99,2008-04-01,"spring"
5,100,2008-05-01,"spring"
6,101,2008-06-01,"summer"
7,102,2008-07-01,"summer"
8,103,2008-08-01,"summer"
9,104,2008-09-01,"fall"
10,105,2008-10-01,"fall"
11,106,2008-11-01,"fall"
12,107,2008-12-01,"winter"
1,108,2009-01-01,"winter"
2,109,2009-02-01,"winter"
3,110,2009-03-01,"spring"
4,111,2009-04-01,"spring"
5,112,2009-05-01,"spring"
6,113,2009-06-01,"summer"
7,114,2009-07-01,"summer"
8,115,2009-08-01,"summer"
9,116,2009-09-01,"fall"
10,117,2009-10-01,"fall"
11,118,2009-11-01,"fall"
12,119,2009-12-01,"winter"
1,120,2010-01-01,"winter"
2,121,2010-02-01,"winter"
3,122,2010-03-01,"spring"
4,123,2010-04-01,"spring"
5,124,2010-05-01,"spring"
6,125,2010-06-01,"summer"
7,126,2010-07-01,"summer"
8,127,2010-08-01,"summer"
9,128,2010-09-01,"fall"
10,129,2010-10-01,"fall"
11,130,2010-11-01,"fall"
12,131,2010-12-01,"winter"
1,132,2011-01-01,"winter"
2,133,2011-02-01,"winter"
3,134,2011-03-01,"spring"
4,135,2011-04-01,"spring"
5,136,2011-05-01,"spring"
6,137,2011-06-01,"summer"
7,138,2011-07-01,"summer"
8,139,2011-08-01,"summer"
9,140,2011-09-01,"fall"
10,141,2011-10-01,"fall"
11,142,2011-11-01,"fall"
12,143,2011-12-01,"winter"
1,144,2012-01-01,"winter"
2,145,2012-02-01,"winter"
3,146,2012-03-01,"spring"
4,147,2012-04-01,"spring"
5,148,2012-05-01,"spring"
6,149,2012-06-01,"summer"
7,150,2012-07-01,"summer"
8,151,2012-08-01,"summer"
9,152,2012-09-01,"fall"
10,153,2012-10-01,"fall"
11,154,2012-11-01,"fall"
12,155,2012-12-01,"winter"
1,156,2013-01-01,"winter"
2,157,2013-02-01,"winter"
3,158,2013-03-01,"spring"
4,159,2013-04-01,"spring"
5,160,2013-05-01,"spring"
6,161,2013-06-01,"summer"
7,162,2013-07-01,"summer"
8,163,2013-08-01,"summer"
9,164,2013-09-01,"fall"
10,165,2013-10-01,"fall"
11,166,2013-11-01,"fall"
12,167,2013-12-01,"winter"
1,168,2014-01-01,"winter"
2,169,2014-02-01,"winter"
3,170,2014-03-01,"spring"
