﻿N° FASE de l'établissement;Nom de l'établissement;Numéro BCE de l'établissement;Type d'enseignement;Niveau;Genre;Réseau;Adresse de l'établissement;Code postal de l'établissement;Localité de l'établissement;Commune de l'établissement;Bassin;Arrondissement administratif;N° FASE de l'implantation;Adresse de l'implantation;Code postal de l'implantation;Localité de l'implantation;Commune de l'implantation;Latitude;Longitude;N° FASE du P.O.;Nom de P.O.;N° BCE du P.O.;Adresse du P.O.;Code postal du P.O.;Localité du P.O.;Commune du P.O.;geolocalisation
6;"Ecole fondamentale ""Clair Soleil"" (P1-M8)";2167249026;Maternel ordinaire;Fondamental;Ordinaire;Subventionné communal;Rue du Potaerdenberg 170;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;15;Rue du Potaerdenberg 170;1070;ANDERLECHT;Anderlecht;50.8419722;4.2976901;1136;Collège des Bourgmestre et Echevins de la commune d'Anderlecht;0206582284;Place du Conseil 1;1070;ANDERLECHT;Anderlecht;50.8419722, 4.2976901
6;"Ecole fondamentale ""Clair Soleil"" (P1-M8)";2167249026;Primaire ordinaire;Fondamental;Ordinaire;Subventionné communal;Rue du Potaerdenberg 170;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;15;Rue du Potaerdenberg 170;1070;ANDERLECHT;Anderlecht;50.8419722;4.2976901;1136;Collège des Bourgmestre et Echevins de la commune d'Anderlecht;0206582284;Place du Conseil 1;1070;ANDERLECHT;Anderlecht;50.8419722, 4.2976901
11;"Ecole fondamentale communale ""La Roue"" n°21";2167249422;Primaire ordinaire;Fondamental;Ordinaire;Subventionné communal;Rue Van Winghen 1;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;22;Rue Van Winghen 1;1070;ANDERLECHT;Anderlecht;50.8192798;4.2959529;1136;Collège des Bourgmestre et Echevins de la commune d'Anderlecht;0206582284;Place du Conseil 1;1070;ANDERLECHT;Anderlecht;50.8192798, 4.2959529
18;Ecole fondamentale libre Saint-François-Xavier;2167095608;Maternel ordinaire;Fondamental;Ordinaire;Libre confessionnel;Rue Eloy 76;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;30;Rue Eloy 76;1070;ANDERLECHT;Anderlecht;50.8361065;4.3271703;341;Comité scolaire de l'école Saint-François-Xavier;0409633176;Rue Eloy 76;1070;ANDERLECHT;Anderlecht;50.8361065, 4.3271703
19;Ecole fondamentale libre Saint-Pierre;2167102932;Maternel ordinaire;Fondamental;Ordinaire;Libre confessionnel;Chaussée de Mons 219;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;31;Chaussée de Mons 219;1070;ANDERLECHT;Anderlecht;50.8412049;4.3284148;414;Comité Scolaire des écoles Saint-Pierre et Sainte-Marie;0410223886;Chaussée de Mons 176;1070;ANDERLECHT;Anderlecht;50.8412049, 4.3284148
19;Ecole fondamentale libre Saint-Pierre;2167102932;Primaire ordinaire;Fondamental;Ordinaire;Libre confessionnel;Chaussée de Mons 219;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;31;Chaussée de Mons 219;1070;ANDERLECHT;Anderlecht;50.8412049;4.3284148;414;Comité Scolaire des écoles Saint-Pierre et Sainte-Marie;0410223886;Chaussée de Mons 176;1070;ANDERLECHT;Anderlecht;50.8412049, 4.3284148
25;Ecole fondamentale libre Institut Saint-Vincent;2167108870;Primaire ordinaire;Fondamental;Ordinaire;Libre confessionnel;Rue Puccini 30;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;39;Rue Puccini 30;1070;ANDERLECHT;Anderlecht;50.8457067;4.3061149;470;Communauté des Ecoles libres d'Anderlecht;0414584631;Rue Puccini 30;1070;ANDERLECHT;Anderlecht;50.8457067, 4.3061149
26;Ecole fondamentale libre - Institut Notre-Dame;2167183797;Maternel ordinaire;Fondamental;Ordinaire;Libre confessionnel;Drève des Agaves 2A;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;40;Drève des Agaves 2A;1070;ANDERLECHT;Anderlecht;50.8338061;4.2856765;895;Institut Notre Dame ASBL;0406466721;Rue de Fiennes 66;1070;ANDERLECHT;Anderlecht;50.8338061, 4.2856765
29;Institut des Soeurs de Notre-Dame;2167179245;Secondaire ordinaire;Secondaire;Ordinaire;Libre confessionnel;Rue de Veeweyde 40;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;45;Rue de Veeweyde 40;1070;ANDERLECHT;Anderlecht;50.8332606;4.3067265;826;Institut des Soeurs de Notre Dame ASBL;0408211929;Rue de Veeweyde 40;1070;ANDERLECHT;Anderlecht;50.8332606, 4.3067265
42;Cours de promotion sociale Erasme;2169230004;Promotion sociale supérieur;Supérieur;Ordinaire;Subventionné communal;Chaussée de Mons 700;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;67;Chaussée de Mons 700;1070;ANDERLECHT;Anderlecht;50.8350258;4.3024832;1136;Collège des Bourgmestre et Echevins de la commune d'Anderlecht;0206582284;Place du Conseil 1;1070;ANDERLECHT;Anderlecht;50.8350258, 4.3024832
48;Ecole des Arts d'Anderlecht;2167250709;Artistique à horaire réduit;Secondaire;Ordinaire;Subventionné communal;Chaussée de Mons 882;1070;ANDERLECHT;Anderlecht;Bruxelles;Bruxelles-Capitale;10727;Rue Pierre Longin 13;1070;ANDERLECHT;Anderlecht;50.8286157;4.2911331;1136;Collège des Bourgmestre et Echevins de la commune d'Anderlecht;0206582284;Place du Conseil 1;1070;ANDERLECHT;Anderlecht;50.8286157, 4.2911331
